"subj" "item" "cond" "rt"
"1" 1 1 1 618.345173934594
"2" 1 1 2 622.487121184092
"3" 1 2 1 614.01371313278
"4" 1 2 2 597.993017736396
"5" 1 3 1 613.789747937712
"6" 1 3 2 622.068840450064
"7" 2 1 1 609.943398331863
"8" 2 1 2 625.188474382266
"9" 2 2 1 608.855436861522
"10" 2 2 2 612.416407714298
"11" 2 3 1 610.731013768565
"12" 2 3 2 627.342856718185
"13" 3 1 1 604.230664066383
"14" 3 1 2 621.787732144188
"15" 3 2 1 608.671570735097
"16" 3 2 2 623.618761824265
"17" 3 3 1 623.926401532111
"18" 3 3 2 616.926533830163
"19" 4 1 1 601.141790405126
"20" 4 1 2 623.805477988744
"21" 4 2 1 627.020119274636
"22" 4 2 2 595.808238588095
"23" 4 3 1 596.867099471996
"24" 4 3 2 609.004605545365
"25" 5 1 1 615.485857226806
"26" 5 1 2 614.295367147183
"27" 5 2 1 619.718833582752
"28" 5 2 2 603.776507883417
"29" 5 3 1 616.886313266814
"30" 5 3 2 634.263480366329
