subj cond chan win        value        gmin        tgmin   gmax        tgmax  
co01 101  F7   +600..+748 -2.8615e+00 -6.3324e+00   0.652 -1.0371e-01   0.620
co01 101  F3   +600..+748 -4.8754e+00 -7.5494e+00   0.652 -3.1604e+00   0.676
co01 101  FZ   +600..+748 -4.2410e+00 -6.4748e+00   0.652 -2.4138e+00   0.608
co01 101  F4   +600..+748 -1.9462e+00 -5.0652e+00   0.652  6.6873e-01   0.700
co01 101  F8   +600..+748 -2.2612e+00 -6.5130e+00   0.620  1.4422e+00   0.740
co01 101  FC5  +600..+748 -4.9317e+00 -8.3295e+00   0.652 -1.2464e+00   0.624
co01 101  FCZ  +600..+748 -2.1725e+00 -3.9985e+00   0.652 -2.7544e-01   0.744
co01 101  FC6  +600..+748 -3.0609e+00 -6.8729e+00   0.652  4.5264e-01   0.744
co01 101  C3   +600..+748 -6.1262e+00 -8.9047e+00   0.652 -3.5164e+00   0.608
co01 101  CZ   +600..+748 -3.0012e+00 -4.7901e+00   0.724 -8.6030e-01   0.744
co01 101  C4   +600..+748 -3.3663e+00 -6.3701e+00   0.720 -6.1229e-01   0.744
co01 101  CP5  +600..+748 -7.7756e+00 -1.2252e+01   0.736 -4.0503e+00   0.632
co01 101  CPZ  +600..+748 -2.8933e+00 -5.7008e+00   0.724 -4.9338e-01   0.672
co01 101  CP6  +600..+748 -2.6819e+00 -6.0522e+00   0.720  6.4537e-01   0.660
co01 101  P7   +600..+748 -5.3297e+00 -7.7234e+00   0.692 -2.5577e+00   0.632
co01 101  P3   +600..+748 -6.3821e+00 -8.9656e+00   0.724 -4.1853e+00   0.668
co01 101  PZ   +600..+748 -3.1886e+00 -6.9862e+00   0.724  2.9335e-01   0.672
co01 101  P4   +600..+748 -2.1728e-01 -3.8799e+00   0.724  3.7773e+00   0.660
co01 101  P8   +600..+748  6.5589e-01 -2.0247e+00   0.724  5.1459e+00   0.656
co01 101  PO3  +600..+748 -5.3440e+00 -9.1148e+00   0.724 -1.8192e+00   0.672
co01 101  POZ  +600..+748 -3.0343e+00 -7.3636e+00   0.724  1.3924e+00   0.672
co01 101  PO4  +600..+748 -8.0973e-01 -5.4808e+00   0.724  3.8294e+00   0.660
co01 101  OZ   +600..+748 -6.1108e-01 -3.7484e+00   0.724  2.3053e+00   0.672
co01 102  F7   +600..+748 -3.6795e+00 -7.4794e+00   0.612  1.2489e-01   0.712
co01 102  F3   +600..+748 -5.5317e+00 -7.7664e+00   0.620 -1.8379e+00   0.724
co01 102  FZ   +600..+748 -5.4398e+00 -7.3950e+00   0.672 -2.7908e+00   0.712
co01 102  F4   +600..+748 -4.3583e+00 -6.7912e+00   0.624 -1.6843e+00   0.644
co01 102  F8   +600..+748 -4.7586e+00 -7.8734e+00   0.684 -9.6597e-01   0.744
co01 102  FC5  +600..+748 -5.5441e+00 -8.6981e+00   0.648 -7.9978e-01   0.704
co01 102  FCZ  +600..+748 -4.5499e+00 -6.2929e+00   0.672 -1.8604e+00   0.708
co01 102  FC6  +600..+748 -5.5222e+00 -1.0415e+01   0.620 -2.1830e+00   0.644
co01 102  C3   +600..+748 -5.0811e+00 -8.1833e+00   0.732 -2.5287e+00   0.700
co01 102  CZ   +600..+748 -3.8786e+00 -5.8826e+00   0.732 -1.9140e+00   0.712
co01 102  C4   +600..+748 -3.9301e+00 -6.1524e+00   0.624 -2.1879e+00   0.708
co01 102  CP5  +600..+748 -3.4165e+00 -8.9844e+00   0.672 -8.6730e-01   0.640
co01 102  CPZ  +600..+748 -2.0185e+00 -4.1085e+00   0.732  1.5220e-01   0.664
co01 102  CP6  +600..+748 -3.7718e+00 -5.9590e+00   0.620 -1.5959e+00   0.660
co01 102  P7   +600..+748 -3.3330e+00 -6.1098e+00   0.652 -9.0882e-01   0.744
co01 102  P3   +600..+748 -4.2562e+00 -6.4296e+00   0.732 -2.1319e+00   0.664
co01 102  PZ   +600..+748  5.8298e-01 -2.3260e+00   0.620  4.0152e+00   0.664
co01 102  P4   +600..+748  1.9598e+00 -8.1568e-01   0.620  5.4335e+00   0.664
co01 102  P8   +600..+748 -3.3309e+00 -5.9093e+00   0.684 -4.2227e-01   0.664
co01 102  PO3  +600..+748 -1.5528e+00 -4.1573e+00   0.716  1.7302e+00   0.664
co01 102  POZ  +600..+748  9.4887e-01 -2.0576e+00   0.620  5.0601e+00   0.664
co01 102  PO4  +600..+748  1.3810e+00 -1.6675e+00   0.608  5.8244e+00   0.664
co01 102  OZ   +600..+748  6.1840e-01 -2.2408e+00   0.716  3.8348e+00   0.664
co01 103  F7   +600..+748 -5.0778e+00 -8.1789e+00   0.692 -2.1211e+00   0.604
co01 103  F3   +600..+748 -5.5750e+00 -8.9794e+00   0.656 -3.0865e+00   0.736
co01 103  FZ   +600..+748 -5.3122e+00 -8.8460e+00   0.652 -2.1581e+00   0.736
co01 103  F4   +600..+748 -3.3159e+00 -7.9813e+00   0.652  1.6268e-01   0.736
co01 103  F8   +600..+748 -5.0382e+00 -8.6723e+00   0.660 -2.4913e+00   0.740
co01 103  FC5  +600..+748 -5.2002e+00 -8.7240e+00   0.692 -2.2710e+00   0.724
co01 103  FCZ  +600..+748 -5.5407e+00 -9.2265e+00   0.652 -2.4198e+00   0.736
co01 103  FC6  +600..+748 -4.8304e+00 -9.1769e+00   0.664 -1.8016e+00   0.632
co01 103  C3   +600..+748 -8.3645e+00 -1.0691e+01   0.652 -5.4975e+00   0.632
co01 103  CZ   +600..+748 -7.3966e+00 -1.0085e+01   0.652 -4.3014e+00   0.736
co01 103  C4   +600..+748 -6.4508e+00 -9.4956e+00   0.652 -3.6524e+00   0.736
co01 103  CP5  +600..+748 -8.5380e+00 -1.0564e+01   0.664 -5.4462e+00   0.636
co01 103  CPZ  +600..+748 -6.4868e+00 -8.4302e+00   0.652 -3.6082e+00   0.736
co01 103  CP6  +600..+748 -6.9014e+00 -9.7734e+00   0.668 -3.6322e+00   0.632
co01 103  P7   +600..+748 -7.0722e+00 -9.6717e+00   0.696 -4.4701e+00   0.636
co01 103  P3   +600..+748 -9.6103e+00 -1.1923e+01   0.696 -7.0637e+00   0.636
co01 103  PZ   +600..+748 -5.5060e+00 -7.5175e+00   0.700 -3.0847e+00   0.636
