"rt" "subj" "deg" "noise"
"1" 420 "s1" "0" "no.noise"
"2" 420 "s2" "0" "no.noise"
"3" 480 "s3" "0" "no.noise"
"4" 420 "s4" "0" "no.noise"
"5" 540 "s5" "0" "no.noise"
"6" 360 "s6" "0" "no.noise"
"7" 480 "s7" "0" "no.noise"
"8" 480 "s8" "0" "no.noise"
"9" 540 "s9" "0" "no.noise"
"10" 480 "s10" "0" "no.noise"
"11" 420 "s1" "4" "no.noise"
"12" 480 "s2" "4" "no.noise"
"13" 480 "s3" "4" "no.noise"
"14" 540 "s4" "4" "no.noise"
"15" 660 "s5" "4" "no.noise"
"16" 420 "s6" "4" "no.noise"
"17" 480 "s7" "4" "no.noise"
"18" 600 "s8" "4" "no.noise"
"19" 600 "s9" "4" "no.noise"
"20" 420 "s10" "4" "no.noise"
"31" 480 "s1" "0" "noise"
"32" 360 "s2" "0" "noise"
"33" 660 "s3" "0" "noise"
"34" 480 "s4" "0" "noise"
"35" 480 "s5" "0" "noise"
"36" 360 "s6" "0" "noise"
"37" 540 "s7" "0" "noise"
"38" 540 "s8" "0" "noise"
"39" 480 "s9" "0" "noise"
"40" 540 "s10" "0" "noise"
"41" 600 "s1" "4" "noise"
"42" 480 "s2" "4" "noise"
"43" 780 "s3" "4" "noise"
"44" 780 "s4" "4" "noise"
"45" 660 "s5" "4" "noise"
"46" 480 "s6" "4" "noise"
"47" 720 "s7" "4" "noise"
"48" 720 "s8" "4" "noise"
"49" 720 "s9" "4" "noise"
"50" 660 "s10" "4" "noise"
